chunk_id,topic,category,content,moves
27,Defending Pieces,Strategy,"It is important to defend one's pieces even if they are not directly threatened. This helps stop possible future campaigns from the opponent. If a defender must be added at a later time, this may cost a tempo or even be impossible due to a fork or discovered attack. The approach of always defending one's pieces has an antecedent in the theory of Aron Nimzowitsch who referred to it as ""overprotection."" Similarly, if one spots undefended enemy pieces, one should immediately take advantage of those pieces' weakness. Even a defended piece can be vulnerable. If the defending piece is also defending something else, it is called an overworked piece, and may not be able to fulfill its task. When there is more than one attacking piece, the number of defenders must also be increased, and their values taken into account. In addition to defending pieces, it is also often necessary to defend key squares, open files, and the back rank. These situations can easily occur if the pawn structure is weak.",
28,Initiative,Strategy,"The initiative belongs to the player who can make threats that cannot be ignored, such as checking the opponent's king. They thus put their opponent in the position of having to use their turns responding to threats rather than making their own, hindering the development of their pieces. The player with the initiative is generally attacking and the other player is generally defending.",
29,Control of the Center,Strategy,"The strategy consists of placing pieces so that they attack the central four squares of the board. A piece being placed on a central square, however, does not necessarily mean it controls the center; e.g., a knight on a central square does not attack any central squares. Conversely, a piece does not have to be on a central square to control the center. For example, the bishop can control the center from afar. Control of the center is generally considered important because tactical battles often take place around the central squares, from where pieces can access most of the board. Center control allows more movement and more possibility for attack and defense.",
30,What is Chess,Rule,"Chess is a two-player abstract strategy board game. Each player controls sixteen pieces of six types on a chessboard. Each type of piece moves in a distinct way. The object of the game is to checkmate the opponent's king; checkmate occurs when a king is threatened with capture and has no escape. A game can end in various ways besides checkmate: a player can resign, and there are several ways a game can end in a draw.",
31,Open Game,Opening,"White opens by playing 1.e4, which is the most popular opening move and has many strengths. It immediately stakes a claim in the center, and frees two pieces (the queen and king's bishop) for action. An Open Game (or Double King's Pawn Opening) is a generic term for a family of chess openings beginning with the moves: 1. e4 e5",1.e4 e5
32,Ruy Lopez,Opening,"The Ruy Lopez, also called the Spanish Opening or Spanish Game, is a chess opening characterised by the moves: 1. e4 e5 2. Nf3 Nc6 3. Bb5 \n At the most basic level, White's third move attacks the knight that defends the e5-pawn from the attack by the f3-knight. White's apparent threat to win Black's e-pawn with 4.Bxc6 dxc6 5.Nxe5 is illusory, Black can respond 5...Qd4, forking the knight and e4-pawn, winning back the material with a good position. White's 3.Bb5 is still a good move, however; it develops a piece, prepares castling, and sets up a potential pin against Black's king. Since White's third move carries no immediate threat, Black can respond in a wide variety of ways. \n The theory of the Ruy Lopez is the most extensively developed of all Open Games, with some lines having been analysed well beyond move thirty. At nearly every move there are many reasonable alternatives, and most have been deeply explored.",1.e4 e5 2.Nf3 Nc6 3.Bb5
33,Scotch Game,Opening,"The Scotch Game, or Scotch Opening, is a chess opening that begins with the moves: 1. e4 e5 2. Nf3 Nc6 3. d4\n White aims to dominate the centre by exchanging their d-pawn for Black's e-pawn. Black usually plays 3...exd4, as they have no good way of maintaining their pawn on e5 (this same position can be reached by transposition from the Centre Game 1.e4 e5 2.d4 exd4 3.Nf3 Nc6). After the usual 3...exd4, White can respond with the main line 4.Nxd4 or can play a gambit by offering Black one or two pawns in exchange for rapid development.",1.e4 e5 2.Nf3 Nc6 3.d4
34,Italian Game,Opening,"The Italian Game is a family of chess openings beginning with the moves: 1. e4 e5 2. Nf3 Nc6 3. Bc4\n This opening is defined by the development of the white bishop to c4 (the so-called ""Italian bishop""), where it attacks Black's vulnerable f7-square. It is part of the large family of Open Games or Double King's Pawn Games.",1.e4 e5 2.Nf3 Nc6 3.Bc4
35,Four Knights Game,Opening,"The Four Knights Game is a chess opening that begins with the moves: 1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6 \n This is the most common sequence, but the knights may develop in any order to reach the same position. The Four Knights usually leads to quiet positional play, though there are also some sharp variations. The opening is fairly popular with beginners who strictly adhere to the opening principle: ""Develop knights before bishops.""",1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6
36,Petrov's Defence,Opening,"Petrov's Defence or the Petrov Defence (also called Petroff Defence, Petrov's Game, Russian Defence, or Russian Game) is a chess opening characterised by the following moves: 1. e4 e5 2. Nf3 Nf6\n Though this symmetrical response has a long history, it was first popularised by Alexander Petrov, a Russian chess player in the mid-19th century. In recognition of the early investigations by the Russian masters Petrov and Carl Jaenisch, this opening is called the Russian Game in some countries.",1.e4 e5 2.Nf3 Nf6
37,Philidor Defence,Opening,"The Philidor Defence (or Philidor's Defence) is a chess opening characterised by the moves: 1. e4 e5 2. Nf3 d6\n The opening is named after the famous 18th-century player Francois-Andre Danican Philidor, who advocated it as an alternative to the common 2...Nc6. His original idea was to challenge White's centre by the pawn thrust ...f7-f5. Today, the Philidor is known as a solid but passive choice for Black, and is seldom seen in top-level play except as an alternative to the heavily analysed openings that can ensue after the normal 2...Nc6. It is considered a good opening for amateur players who seek a defensive strategy that is simpler and easier to understand than the complex positions that result from an opening such as the French Defence.",1.e4 e5 2.Nf3 d6
38,Vienna Game,Opening,"The Vienna Game is an opening in chess that begins with the moves: 1. e4 e5 2. Nc3\n White's second move is less common than 2.Nf3, and is also more recent. The original idea behind the Vienna Game was to play a delayed King's Gambit with f4 (the Vienna Gambit), but in modern play White often plays more quietly (for example, by fianchettoing their king's bishop with g3 and Bg2). Black most often continues with 2...Nf6. ",1.e4 e5 2.Nc3
39,Bishop's Opening,Opening,"The Bishop's Opening is a chess opening that begins with the moves: 1. e4 e5 2. Bc4\nWhite attacks Black's f7-square and prevents Black from advancing the d-pawn to d5. By ignoring the beginner's maxim ""develop knights before bishops"", White leaves their f-pawn unblocked, preserving the possibility of f2-f4. The f2-f4 push gives the Bishop's Opening an affinity with the King's Gambit and the Vienna Game, two openings that share this characteristic. The Bishop's Opening can transpose into either of these openings, and in particular a favorable variation of the King's Gambit, but with care Black can circumvent this. Transpositions into the Giuoco Piano and the Two Knights Defense and other openings are also possible.",1.e4 e5 2.Bc4
40,King's Gambit,Opening,"The King's Gambit is a chess opening that begins with the moves: 1. e4 e5 2. f4\nWhite offers a pawn to divert the black e-pawn. If Black accepts the gambit, White may play d4 and Bxf4, regaining the gambit pawn with central domination, or direct their forces against the weak square f7 with moves such as Nf3, Bc4, 0-0, and g3. A downside to the King's Gambit is that it weakens White's king's position, exposing it to the latent threat of ...Qh4+ (or ...Be7 h4+), which may force White to give up castling rights.",1.e4 e5 2.f4
41,Center Game,Opening,"The Center Game is a chess opening that begins with the moves: 1. e4 e5 2. d4 exd4\nThe game usually continues 3.Qxd4 Nc6, developing with a gain of tempo for Black due to the attack on the white queen. (Note that 3.c3 is considered a separate opening: the Danish Gambit.)",1.e4 e5 2.d4 exd4 3.Qxd4
42,Danish Gambit,Opening,"The Danish Gambit, known as the Nordisches Gambit in German and the Noords Gambiet in Dutch (both meaning Nordic Gambit), is a chess opening that begins with the moves: 1. e4 e5 2. d4 exd4 3. c3\nWhite will sacrifice one or two pawns for the sake of rapid development and the attack. However, with care, Black can accept one or both pawns safely, or simply decline the gambit altogether with good chances.",1.e4 e5 2.d4 exd4 3.c3
43,Sicilian Defence,Opening,"The Sicilian Defence is a chess opening that begins with the following moves: 1. e4 c5\nBy advancing the c-pawn two squares, Black asserts control over the d4-square and begins the fight for the centre of the board. The move resembles 1.e5, the next most common response to 1.e4, in that respect. Unlike 1...e5, however, 1...c5 breaks the symmetry of the position, which strongly influences both players' future actions. White, having pushed a kingside pawn, tends to hold the initiative on that side of the board. However, 1...c5 does little for Black's development, unlike moves such as 1...e5, 1...g6, or 1...Nc6, which either develop a minor piece or prepare to do so. In many variations of the Sicilian, Black makes a number of further pawn moves in the opening (for example, ...d6, ...e6, ...a6, and ...b5). Consequently, White often obtains a substantial lead in development and dangerous attacking chances.",1.e4 c5
44,French Defence,Opening,"The French Defence is a chess opening characterised by the moves: 1. e4 e6\nThis is most commonly followed by 2.d4 d5. Black usually plays ...c5 soon after, attacking White's pawn centre and gaining space on the queenside. The French has a reputation for solidity and resilience, although some lines such as the Winawer Variation can lead to sharp complications. Black's position is often somewhat cramped in the early game; in particular, the pawn on e6 can impede the development of the bishop on c8, known by many players as the French bishop.",1.e4 e6
45,Caro-Kann Defence,Opening,"The Caro-Kann Defence is a chess opening characterised by the moves: 1. e4 c6\nThe Caro-Kann is a common defence against 1.e4. It is classified as a Semi-Open Game, like the Sicilian Defence and French Defence, although it is thought to be more solid and less dynamic than either of those openings. It often leads to good endgames for Black, who has the better pawn structure.\nBlack prepares to contest the centre with 2...d5. Unlike the similarly motivated French Defence, the Caro-Kann does not hinder the development of Black's light-squared bishop. It comes at the cost of a tempo, however, because Black has to play 1...c6 before pushing the pawn to c5, whereas Black can push c7-c5 in one move in the French Defence. White can combat the Caro�Kann in several different ways, often gaining a space advantage; additionally, Black has less mobility and can lag in development.",1.e4 c6
46,Scandinavian Defence,Opening,"The Scandinavian Defense (or Center Counter Defense, or Center Counter Game) is a chess opening characterized by the moves: 1. e4 d5\nThe Scandinavian Defense, described in the poem Scachs d'amor, is the oldest opening by Black recorded in modern chess. Considered to be the most directly challenging move available to Black after 1.e4, the general goal of the defense is to prevent White from controlling the center of the board with pawns, effectively forcing an open game, while allowing Black to build a strong pawn structure.",1.e4 d5
47,Pirc Defence,Opening,"The Pirc Defence is a chess opening that begins with the moves: 1. e4 d6 2. d4 Nf6 3. Nc3 g6\nThis is the most commonly played line after Black responds to 1.e4 with 1...d6. It has been claimed to give rise to somewhat interesting and exciting games, where Black will have counterplay but has to be cautious about playing too passively. According to Garry Kasparov, the Pirc Defence is ""hardly worth using in the tournaments of the highest category"", as it gives White ""too many opportunities for anybody's liking"".",1.e4 d6 2.d4 Nf6 3.Nc3 g6
48,Alekhine's Defence,Opening,"Alekhine's Defence is a chess opening that begins with the moves: 1. e4 Nf6\nBlack tempts White's pawns forward to form a broad pawn centre, with plans to undermine and attack the white structure later in the spirit of hypermodern defence. White's imposing mass of pawns in the centre often includes pawns on c4, d4, e5, and f4. Grandmaster Nick de Firmian observes of Alekhine's Defence in MCO-15 (2008), ""The game immediately loses any sense of symmetry or balance, which makes the opening a good choice for aggressive fighting players.""",1.e4 Nf6
49,Modern Defense,Opening,"The Modern Defense (also known as the Robatsch Defence after Karl Robatsch) is a hypermodern chess opening in which Black allows White to occupy the center with pawns on d4 and e4, then proceeds to attack and undermine this ""ideal"" center without attempting to occupy it. The Modern Defense usually starts with the opening moves: 1. e4 g6\nThe opening has been most notably used by British grandmasters Nigel Davies and Colin McNab. The Modern Defense is closely related to the Pirc Defence, the primary difference being that in the Modern, Black delays developing the knight to f6. The delay of ...Nf6 attacking White's pawn on e4 gives White the option of blunting the g7-bishop with c2-c3. There are numerous transpositional possibilities between the two openings.",1.e4 g6
50,Closed Game,Opening,"The openings classified as closed games begin 1.d4 d5. The move 1.d4 offers the same benefits to development and center control as does 1.e4, but unlike with King Pawn openings where the e4-pawn is undefended after the first move, the d4-pawn is protected by White's queen. This slight difference has a tremendous effect on the opening. For instance, whereas the King's Gambit is rarely played today at the highest levels of chess, the Queen's Gambit remains a popular weapon at all levels of play. Also, compared with the King Pawn openings, transpositions among variations are more common and critical in the closed games.",1.d4 d5
51,Queen's Gambit,Opening,"The Queen's Gambit is the chess opening that starts with the moves: 1. d4 d5 2. c4\nIt is one of the oldest openings and is still commonly played today. It is traditionally described as a gambit because White appears to sacrifice the c-pawn; however, this could be considered a misnomer as Black cannot retain the pawn without incurring a disadvantage.",1.d4 d5 2.c4
52,Queen's Gambit Accepted,Opening,"The Queen's Gambit Accepted (QGA) is a chess opening characterised by the moves: 1. d4 d5 2. c4 dxc4\nThe Queen's Gambit Accepted is the third most popular option on Black's second move, after 2...e6 (the Queen's Gambit Declined) and 2...c6 (the Slav Defense).\nThe Queen's Gambit is not considered a true gambit, in contrast to the King's Gambit, because the pawn is either regained, or can only be held unprofitably by Black. Black usually allows the pawn to be recaptured and uses the time expended to play against White's centre.",1.d4 d5 2.c4 dxc4
53,Queen's Gambit Declined,Opening,"The Queen's Gambit Declined (or QGD) is a chess opening in which Black declines a pawn offered by White in the Queen's Gambit: 1. d4 d5 2. c4 e6\nPlaying 2...e6 releases Black's dark-squared bishop, while obstructing Black's light-squared bishop. By declining White's temporary pawn sacrifice, Black erects a solid position; the pawns on d5 and e6 give Black a foothold in the center. The Queen's Gambit Declined has the reputation of being one of Black's most reliable defenses to 1.d4. In this situation, White will try to exploit the passivity of Black's light-squared bishop, and Black will try to release it, trade it, or prove that, while passive, the bishop has a useful defensive role.\nAn eventual ...dxc4 by Black will surrender the center to White, and Black will usually not do this unless Black can extract a concession, usually in the form of gaining a tempo, by capturing on c4 only after White has played Bd3 first. In the Orthodox Line, the fight for the tempo revolves around White's efforts to play all other useful developing moves prior to playing Bd3. Black will often aim for the pawn break ...c5 in this opening, which often leads to one or the other side accepting isolated or hanging pawns in exchange for dynamic compensation.",1.d4 d5 2.c4 e6
54,Slav Defense,Opening,"The Slav Defense is a chess opening that begins with the moves: 1. d4 d5 2. c4 c6\nThe Slav is one of the primary defenses to the Queen's Gambit. Although it was analyzed as early as 1590, it was not until the 1920s that it started to be explored extensively, although Steinitz essayed it in the first official World Chess Championship of 1886. Many masters of Slavic descent helped develop the theory of this opening, including Alapin, Alekhine, Bogoljubov, and Vidmar.\nThe Slav received an exhaustive test during the two Alekhine�Euwe World Championship matches in 1935 and 1937. Played by 11 of the first 13 world champions, this defense was particularly favored by Euwe, Botvinnik, and Smyslov. More recently the Slav has been adopted by Anand, Ivanchuk, Lautier, Short, and other top grandmasters, including use in six of the eight games that Vladimir Kramnik played as Black in the 2006 World Championship (in the other two, he played the related Semi-Slav Defense).",1.d4 d5 2.c4 c6
55,Indian Defence,Opening,"In the game of chess, Indian Defence or Indian Game is a broad term for a group of openings characterised by the moves: 1. d4 Nf6\nThey are all to varying degrees hypermodern defences, where Black invites White to establish an imposing presence in the centre with the plan of undermining and ultimately destroying it. Although the Indian defences were championed in the 1920s by players in the hypermodern school, they were not fully accepted until Russian players showed in the late 1940s that these systems are sound for Black. Since then, the Indian defences have become a popular way for Black to respond to 1.d4 because they often offer a balanced game with winning chances for both sides.",1.d4 Nf6
56,Modern Benoni,Opening,"The Modern Benoni is a chess opening that begins with the moves 1.d4 Nf6 2.c4 c5 3.d5 e6. After the initial moves, Black proceeds to capture on d5, creating a majority of black pawns on the queenside. To support their advance, the king's bishop is usually fianchettoed on g7. These two features differentiate Black's setup from the other Benoni defences and the King's Indian Defence, although transpositions between these openings are common.",1.d4 Nf6 2.c4 c5 3.d5 e6
57,Benko Gambit,Opening,The Benko Gambit (or Volga Gambit) is a chess opening characterised by the move 3...b5 in the Benoni Defence arising after: 1. d4 Nf6 2. c4 c5 3. d5 b5\nBlack sacrifices a pawn for enduring queenside pressure. White can accept or decline the gambit pawn.,1.d4 Nf6 2.c4 c5 3.d5 b5
58,Nimzo-Indian Defence,Opening,"The Nimzo-Indian Defence is a chess opening characterised by the moves: 1. d4 Nf6 2. c4 e6 3. Nc3 Bb4\nThis hypermodern opening was developed by Aron Nimzowitsch who introduced it to master-level chess in the early 20th century. Unlike most Indian openings, the Nimzo-Indian does not involve an immediate fianchetto, although Black often follows up with ...b6 and ...Bb7. By pinning White's knight, Black prevents the threatened 4.e4 and seeks to inflict doubled pawns on White. White will attempt to create a pawn centre and develop their pieces to prepare for an assault on the Black position.",1.d4 Nf6 2.c4 e6 3.Nc3 Bb4
59,Queen's Indian Defense,Opening,"The Queen's Indian Defense (QID) is a chess opening defined by the moves: 1. d4 Nf6 2. c4 e6 3. Nf3 b6\nThe opening is a solid defense to the Queen's Pawn Game.[2] 3...b6 increases Black's control over the central light squares e4 and d5 by preparing to fianchetto the queen's bishop, with the opening deriving its name from this maneuver. As in the other Indian defenses, Black attempts to control the center with pieces in hypermodern style, instead of occupying it with pawns in classical style.",1.d4 Nf6 2.c4 e6 3.Nf3 b6
60,Catalan Opening,Opening,"The Catalan Opening is a chess opening where White plays d4 and c4 and fianchettoes the white bishop on g2. A common opening sequence is 1.d4 Nf6 2.c4 e6 3.g3, although various other openings can transpose into the Catalan.\nIn the Catalan, White adopts a combination of the Queen's Gambit and Reti Opening. White combines the space-gaining moves d4 and c4 with g3, preparing to fianchetto the king's bishop. This places pressure mainly on the queenside while hoping to keep the white king safe in the long-term. The c4-pawn can become vulnerable, however, and White might have to sacrifice a pawn.\nBlack has two main approaches to play against the Catalan: in the Open Catalan Black plays ...dxc4 and can either try to hold on to the pawn with ...b5 or give it back for extra time to free their game. In the Closed Catalan, Black does not capture on c4; their game can be somewhat cramped for a while, but is quite solid. Additionally, Black has ways to avoid the Catalan.",1.d4 Nf6 2.c4 e6 3.g3
61,Gruenfeld Defence,Opening,"The Gruenfeld Defence is a chess opening characterised by the moves: 1. d4 Nf6 2. c4 g6 3. Nc3 d5\nBlack offers White the possibility of 4.cxd5, which may be followed by 4...Nxd5 and 5.e4, giving White an imposing central pawn duo. If White does not take the d5-pawn, Black may eventually play ...dxc4, when a White response of e4 again leads to the same pawn structure. In classical opening theory this imposing pawn centre was held to give White a large advantage, but the hypermodern school, which was coming to the fore in the 1920s, held that a large pawn centre could be a liability rather than an asset. The Gr�nfeld is therefore a key hypermodern opening, showing in stark terms how a large pawn centre can either be a powerful battering ram or a target for attack.",1.d4 Nf6 2.c4 g6 3.Nc3 d5
62,King's Indian Defence,Opening,"The King's Indian Defence (or KID) is a common chess opening. It is defined by the following moves: 1. d4 Nf6 2. c4 g6\nBlack intends to follow up with 3...Bg7 and 4...d6 (the Gruenfeld Defence arises when Black plays 3...d5 instead and is considered a separate opening). White's major third move options are 3.Nc3, 3.Nf3, or 3.g3, with both the King's Indian and Gruenfeld playable against these moves.\nThe King's Indian is a hypermodern opening, where Black deliberately allows White control of the centre with pawns, with the view to subsequently challenge it. In the most critical lines of the King's Indian, White erects an imposing pawn centre with Nc3 followed by e4. Black stakes out their own claim to the centre with the Benoni-style ...c5, or ...e5. If White resolves the central pawn tension with d5, then Black follows with either ...b5 and queenside play, or ...f5 and an eventual kingside attack. Meanwhile, White attempts to expand on the opposite wing. The resulting unbalanced positions offer scope for both sides to play for a win.",1.d4 Nf6 2.c4 g6
